anno;CCIAA;codice_provincia;provincia;codice_comune;comune;natura_giuridica;sezione;settore_attivita;registrate;attive
2014;AR;051;AREZZO;051002;AREZZO;SOCIETÀ DI PERSONE;G;"COMMERCIO ALL'INGROSSO E AL DETTAGLIO; RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI";393;336
2014;AR;051;AREZZO;051002;AREZZO;SOCIETÀ DI PERSONE;H;TRASPORTO E MAGAZZINAGGIO;18;14
2014;AR;051;AREZZO;051002;AREZZO;SOCIETÀ DI PERSONE;I;ATTIVITÀ DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE;235;190
2014;AR;051;AREZZO;051002;AREZZO;SOCIETÀ DI PERSONE;J;SERVIZI DI INFORMAZIONE E COMUNICAZIONE;12;11
2014;AR;051;AREZZO;051002;AREZZO;SOCIETÀ DI PERSONE;K;ATTIVITÀ FINANZIARIE E ASSICURATIVE;19;18
2014;AR;051;AREZZO;051002;AREZZO;SOCIETÀ DI PERSONE;L;ATTIVITÀ IMMOBILIARI;145;135
2014;AR;051;AREZZO;051002;AREZZO;SOCIETÀ DI PERSONE;M;ATTIVITÀ PROFESSIONALI, SCIENTIFICHE E TECNICHE;25;19
2014;AR;051;AREZZO;051002;AREZZO;SOCIETÀ DI PERSONE;N;NOLEGGIO, AGENZIE DI VIAGGIO, SERVIZI DI SUPPORTO ALLE IMPRESE;31;26
2014;AR;051;AREZZO;051002;AREZZO;SOCIETÀ DI PERSONE;P;ISTRUZIONE;13;13
2014;AR;051;AREZZO;051002;AREZZO;SOCIETÀ DI PERSONE;Q;SANITÀ E ASSISTENZA SOCIALE;7;6
2014;AR;051;AREZZO;051002;AREZZO;SOCIETÀ DI PERSONE;R;ATTIVITÀ ARTISTICHE, SPORTIVE, DI INTRATTENIMENTO E DIVERTIMENTO;9;7
2014;AR;051;AREZZO;051002;AREZZO;SOCIETÀ DI PERSONE;S;ALTRE ATTIVITÀ DI SERVIZI;111;107
2014;AR;051;AREZZO;051003;BADIA TEDALDA;ALTRE FORME;N;NOLEGGIO, AGENZIE DI VIAGGIO, SERVIZI DI SUPPORTO ALLE IMPRESE;1;1
2014;AR;051;AREZZO;051003;BADIA TEDALDA;ALTRE FORME;Q;SANITÀ E ASSISTENZA SOCIALE;1;1
2014;AR;051;AREZZO;051003;BADIA TEDALDA;DITTE INDIVIDUALI;A;AGRICOLTURA, SILVICOLTURA E PESCA;49;49
2014;AR;051;AREZZO;051003;BADIA TEDALDA;DITTE INDIVIDUALI;C;ATTIVITÀ MANIFATTURIERE;3;3
2014;AR;051;AREZZO;051003;BADIA TEDALDA;DITTE INDIVIDUALI;D;FORNITURA DI ENERGIA ELETTRICA, GAS, VAPORE E ARIA CONDIZIONATA;2;2
2014;AR;051;AREZZO;051003;BADIA TEDALDA;DITTE INDIVIDUALI;F;COSTRUZIONI;9;9
2014;AR;051;AREZZO;051003;BADIA TEDALDA;DITTE INDIVIDUALI;G;"COMMERCIO ALL'INGROSSO E AL DETTAGLIO; RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI";19;18
2014;AR;051;AREZZO;051003;BADIA TEDALDA;DITTE INDIVIDUALI;H;TRASPORTO E MAGAZZINAGGIO;4;4
2014;AR;051;AREZZO;051003;BADIA TEDALDA;DITTE INDIVIDUALI;I;ATTIVITÀ DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE;6;6
2014;AR;051;AREZZO;051003;BADIA TEDALDA;DITTE INDIVIDUALI;K;ATTIVITÀ FINANZIARIE E ASSICURATIVE;1;1
2014;AR;051;AREZZO;051003;BADIA TEDALDA;DITTE INDIVIDUALI;M;ATTIVITÀ PROFESSIONALI, SCIENTIFICHE E TECNICHE;2;2
2014;AR;051;AREZZO;051003;BADIA TEDALDA;DITTE INDIVIDUALI;S;ALTRE ATTIVITÀ DI SERVIZI;6;6
2014;AR;051;AREZZO;051003;BADIA TEDALDA;NON INDICATA;n;Non indicato;2;1
2014;AR;051;AREZZO;051003;BADIA TEDALDA;NON INDICATA;A;AGRICOLTURA, SILVICOLTURA E PESCA;2;0
2014;AR;051;AREZZO;051003;BADIA TEDALDA;NON INDICATA;C;ATTIVITÀ MANIFATTURIERE;2;1
2014;AR;051;AREZZO;051003;BADIA TEDALDA;NON INDICATA;D;FORNITURA DI ENERGIA ELETTRICA, GAS, VAPORE E ARIA CONDIZIONATA;2;2
2014;AR;051;AREZZO;051003;BADIA TEDALDA;NON INDICATA;F;COSTRUZIONI;1;0
2014;AR;051;AREZZO;051003;BADIA TEDALDA;NON INDICATA;G;"COMMERCIO ALL'INGROSSO E AL DETTAGLIO; RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI";3;3
2014;AR;051;AREZZO;051003;BADIA TEDALDA;NON INDICATA;N;NOLEGGIO, AGENZIE DI VIAGGIO, SERVIZI DI SUPPORTO ALLE IMPRESE;1;1
2014;AR;051;AREZZO;051003;BADIA TEDALDA;SOCIETÀ DI CAPITALE;A;AGRICOLTURA, SILVICOLTURA E PESCA;1;1
2014;AR;051;AREZZO;051003;BADIA TEDALDA;SOCIETÀ DI CAPITALE;G;"COMMERCIO ALL'INGROSSO E AL DETTAGLIO; RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI";1;1
2014;AR;051;AREZZO;051003;BADIA TEDALDA;SOCIETÀ DI CAPITALE;I;ATTIVITÀ DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE;1;1
2014;AR;051;AREZZO;051003;BADIA TEDALDA;SOCIETÀ DI CAPITALE;L;ATTIVITÀ IMMOBILIARI;1;1
2014;AR;051;AREZZO;051003;BADIA TEDALDA;SOCIETÀ DI PERSONE;A;AGRICOLTURA, SILVICOLTURA E PESCA;8;8
2014;AR;051;AREZZO;051003;BADIA TEDALDA;SOCIETÀ DI PERSONE;C;ATTIVITÀ MANIFATTURIERE;4;3
2014;AR;051;AREZZO;051003;BADIA TEDALDA;SOCIETÀ DI PERSONE;D;FORNITURA DI ENERGIA ELETTRICA, GAS, VAPORE E ARIA CONDIZIONATA;1;1
2014;AR;051;AREZZO;051003;BADIA TEDALDA;SOCIETÀ DI PERSONE;F;COSTRUZIONI;2;2
2014;AR;051;AREZZO;051003;BADIA TEDALDA;SOCIETÀ DI PERSONE;G;"COMMERCIO ALL'INGROSSO E AL DETTAGLIO; RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI";6;5
2014;AR;051;AREZZO;051003;BADIA TEDALDA;SOCIETÀ DI PERSONE;H;TRASPORTO E MAGAZZINAGGIO;1;1
2014;AR;051;AREZZO;051003;BADIA TEDALDA;SOCIETÀ DI PERSONE;I;ATTIVITÀ DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE;2;2
2014;AR;051;AREZZO;051004;BIBBIENA;ALTRE FORME;A;AGRICOLTURA, SILVICOLTURA E PESCA;1;1
2014;AR;051;AREZZO;051004;BIBBIENA;ALTRE FORME;C;ATTIVITÀ MANIFATTURIERE;6;5
2014;AR;051;AREZZO;051004;BIBBIENA;ALTRE FORME;F;COSTRUZIONI;8;5
2014;AR;051;AREZZO;051004;BIBBIENA;ALTRE FORME;H;TRASPORTO E MAGAZZINAGGIO;2;2
2014;AR;051;AREZZO;051004;BIBBIENA;ALTRE FORME;P;ISTRUZIONE;1;1
2014;AR;051;AREZZO;051004;BIBBIENA;ALTRE FORME;R;ATTIVITÀ ARTISTICHE, SPORTIVE, DI INTRATTENIMENTO E DIVERTIMENTO;1;1
2014;AR;051;AREZZO;051004;BIBBIENA;DITTE INDIVIDUALI;n;Non indicato;12;1
2014;AR;051;AREZZO;051004;BIBBIENA;DITTE INDIVIDUALI;A;AGRICOLTURA, SILVICOLTURA E PESCA;85;85
2014;AR;051;AREZZO;051004;BIBBIENA;DITTE INDIVIDUALI;C;ATTIVITÀ MANIFATTURIERE;51;50
